source_taxon	target_taxon	value
sp_007	sp_004	0
sp_007	sp_005	0
sp_007	sp_006	0
sp_007	sp_007	-0.00471809868903139
sp_007	sp_008	0
sp_007	sp_009	0
sp_007	sp_010	0
sp_007	sp_011	0
sp_007	sp_012	0
sp_007	sp_013	-0.0120848803230622
sp_007	sp_014	0
sp_007	sp_015	-0.0494000393985871
sp_007	sp_016	-0.0486012127753067
sp_007	sp_017	0
sp_007	sp_018	0
sp_007	sp_019	0
sp_007	sp_020	0
sp_008	sp_001	0
sp_008	sp_002	0
sp_008	sp_003	0
sp_008	sp_004	-0.0556445927846338
sp_008	sp_005	0
sp_008	sp_006	0
sp_008	sp_007	-0.00220590579297034
sp_008	sp_008	-0.178696874964724
sp_008	sp_009	0
sp_008	sp_010	0
sp_008	sp_011	0
sp_008	sp_012	0
sp_008	sp_013	0
sp_008	sp_014	0
sp_008	sp_015	0
sp_008	sp_016	0
sp_008	sp_017	-0.0290135978083643
sp_008	sp_018	0
sp_008	sp_019	0.02216948836033
sp_008	sp_020	0
sp_009	sp_001	0
sp_009	sp_002	0
sp_009	sp_003	0
sp_009	sp_004	0
sp_009	sp_005	-0.0242891372949833
sp_009	sp_006	0
sp_009	sp_007	0
sp_009	sp_008	0
sp_009	sp_009	-0.40009849703679
sp_009	sp_010	0
sp_009	sp_011	0.0345384531001363
sp_009	sp_012	-0.038163197647362
sp_009	sp_013	0
sp_009	sp_014	-0.0620234821850932
sp_009	sp_015	0
sp_009	sp_016	0
sp_009	sp_017	0
sp_009	sp_018	0
sp_009	sp_019	0
sp_009	sp_020	-0.0990032685572265
sp_010	sp_001	0
sp_010	sp_002	0
sp_010	sp_003	0
sp_010	sp_004	0
sp_010	sp_005	0
sp_010	sp_006	0
sp_010	sp_007	0
sp_010	sp_008	0
sp_010	sp_009	0
sp_010	sp_010	-0.131559570887354
sp_010	sp_011	0
sp_010	sp_012	0
sp_010	sp_013	0
sp_010	sp_014	0
sp_010	sp_015	0
sp_010	sp_016	0.0134599427167618
sp_010	sp_017	0
sp_010	sp_018	0
sp_010	sp_019	0
sp_010	sp_020	0
sp_011	sp_001	0
sp_011	sp_002	0
sp_011	sp_003	0.0247034721104432
sp_011	sp_004	0
sp_011	sp_005	0
sp_011	sp_006	0
sp_011	sp_007	0
sp_011	sp_008	0
sp_011	sp_009	0
sp_011	sp_010	0
sp_011	sp_011	-0.0546406212748087
sp_011	sp_012	0
sp_011	sp_013	0
sp_011	sp_014	0
sp_011	sp_015	0
sp_011	sp_016	0
sp_011	sp_017	0
sp_011	sp_018	0
sp_011	sp_019	0.0244260656297965
sp_011	sp_020	0
sp_012	sp_001	0
sp_012	sp_002	0
sp_012	sp_003	0
sp_012	sp_004	0
sp_012	sp_005	0
sp_012	sp_006	0
sp_012	sp_007	0
sp_012	sp_008	0
sp_012	sp_009	0
sp_012	sp_010	0
sp_012	sp_011	0
sp_012	sp_012	-0.0469125410830736
sp_012	sp_013	0
sp_012	sp_014	0
sp_012	sp_015	0
sp_012	sp_016	0
sp_012	sp_017	0
sp_012	sp_018	0
sp_012	sp_019	0
sp_012	sp_020	0
sp_013	sp_001	0
sp_013	sp_002	0
sp_013	sp_003	0
sp_013	sp_004	0.0052410804660977
sp_013	sp_005	0.0152210102532088
sp_013	sp_006	0
sp_013	sp_007	0
sp_013	sp_008	0.0427515152506471
sp_013	sp_009	0
sp_013	sp_010	0
sp_013	sp_011	0
sp_013	sp_012	0
sp_013	sp_013	-0.030146057163375
sp_013	sp_014	0
sp_013	sp_015	-0.0129486820568363
sp_013	sp_016	0
sp_013	sp_017	0
sp_013	sp_018	0
sp_013	sp_019	0.0402671324357226
sp_013	sp_020	-0.177862721778662
sp_014	sp_001	-0.0186531166153008
sp_014	sp_002	-0.108207246644167
sp_014	sp_003	-0.0334147473076686
sp_014	sp_004	0
sp_014	sp_005	0
sp_014	sp_006	0
sp_014	sp_007	0
sp_014	sp_008	0
sp_014	sp_009	0
sp_014	sp_010	0.0949491019958261
sp_014	sp_011	-0.0483731878695392
sp_014	sp_012	0
sp_014	sp_013	0
sp_014	sp_014	-0.338389011062515
sp_014	sp_015	0
sp_014	sp_016	0.0414508006389153
sp_014	sp_017	0
sp_014	sp_018	0
sp_014	sp_019	0
sp_014	sp_020	0
sp_015	sp_001	-0.0280201387239836
sp_015	sp_002	0
sp_015	sp_003	0
sp_015	sp_004	0.012937334623301
sp_015	sp_005	0.00264501750488454
sp_015	sp_006	0
sp_015	sp_007	0.00383870604546063
sp_015	sp_008	0
sp_015	sp_009	0
sp_015	sp_010	0
sp_015	sp_011	-0.0399769575132843
sp_015	sp_012	0
sp_015	sp_013	0
sp_015	sp_014	0.0577652835025358
sp_015	sp_015	-0.186793036101841
sp_015	sp_016	0
sp_015	sp_017	0
sp_015	sp_018	0
sp_015	sp_019	0
sp_015	sp_020	0
sp_016	sp_001	0
sp_016	sp_002	0
sp_016	sp_003	0
sp_016	sp_004	0
sp_016	sp_005	0
sp_016	sp_006	0.00810755492774317
sp_016	sp_007	0
sp_016	sp_008	0
sp_016	sp_009	-0.0395770421435991
sp_016	sp_010	0.175017408857094
sp_016	sp_011	0.0117393713773561
sp_016	sp_012	0
sp_016	sp_013	0
sp_016	sp_014	0
sp_016	sp_015	0
sp_016	sp_016	-0.0806820076950019
sp_016	sp_017	0
sp_016	sp_018	0
sp_016	sp_019	0
sp_016	sp_020	0
sp_017	sp_001	0
sp_017	sp_002	0
sp_017	sp_003	0
sp_017	sp_004	0
sp_017	sp_005	0
sp_017	sp_006	0
sp_017	sp_007	0
sp_017	sp_008	0.0153336626066308
sp_017	sp_009	0
sp_017	sp_010	0
sp_017	sp_011	0
sp_017	sp_012	0
sp_017	sp_013	0
sp_017	sp_014	0
sp_017	sp_015	0
sp_017	sp_016	-0.0692111485948057
sp_017	sp_017	-0.184732059905403
sp_017	sp_018	0.0471067823720305
sp_017	sp_019	0
sp_017	sp_020	0
sp_018	sp_001	0
sp_018	sp_002	0
sp_018	sp_003	0
sp_018	sp_004	0
sp_018	sp_005	0
sp_018	sp_006	0
sp_018	sp_007	0
sp_018	sp_008	0
sp_018	sp_009	0.0161720651703669
sp_018	sp_010	0
sp_018	sp_011	0
sp_018	sp_012	0
sp_018	sp_013	0
sp_018	sp_014	0
sp_018	sp_015	0.0215135050315308
sp_018	sp_016	0
sp_018	sp_017	0
sp_018	sp_018	-0.258948644294245
sp_018	sp_019	0
sp_018	sp_020	0
sp_019	sp_001	0
sp_019	sp_002	0
sp_019	sp_003	0
sp_019	sp_004	0
sp_019	sp_005	0
sp_019	sp_006	0
sp_019	sp_007	0
sp_019	sp_008	0.00249763851567101
sp_019	sp_009	-0.0155522405381913
sp_019	sp_010	0
sp_019	sp_011	0
sp_019	sp_012	-0.0155253204933272
sp_019	sp_013	0
sp_019	sp_014	0
sp_019	sp_015	0
sp_019	sp_016	0
sp_019	sp_017	0
sp_019	sp_018	0
sp_019	sp_019	-0.0290571773119746
sp_019	sp_020	0
sp_020	sp_001	0
sp_020	sp_002	0
sp_020	sp_003	0.0234916237650244
sp_020	sp_004	0
sp_020	sp_005	-0.000111417939091595
sp_020	sp_006	0
sp_020	sp_007	0
sp_020	sp_008	0.0135900681074542
sp_020	sp_009	0
sp_020	sp_010	0
sp_020	sp_011	0
sp_020	sp_012	0
sp_020	sp_013	0
sp_020	sp_014	0
sp_020	sp_015	0
sp_020	sp_016	0
sp_020	sp_017	0
sp_020	sp_018	0
sp_020	sp_019	0
sp_020	sp_020	-0.0602319789393106
